"Date","Price","Open","High","Low","Vol.","Change %"
"11/03/2024","21,121.93","20,011.55","21,154.98","19,899.19","1.66B","5.43%"
"10/27/2024","20,033.14","20,455.01","20,600.10","19,880.26","1.65B","-1.57%"
"10/20/2024","20,352.01","20,280.49","20,552.82","19,934.92","1.31B","0.14%"
"10/13/2024","20,324.04","20,366.06","20,493.90","20,036.73","1.40B","0.26%"
"10/06/2024","20,271.97","19,954.66","20,314.24","19,763.04","1.28B","1.18%"
"09/29/2024","20,035.02","19,959.26","20,072.42","19,622.29","1.36B","0.13%"
"09/22/2024","20,008.62","19,848.71","20,273.30","19,739.67","1.50B","1.10%"
"09/15/2024","19,791.49","19,412.79","19,951.79","19,294.18","2.24B","1.42%"
"09/08/2024","19,514.58","18,579.80","19,556.80","18,469.40","1.46B","5.93%"
"09/01/2024","18,421.31","19,438.10","19,438.10","18,400.97","1.41B","-5.89%"
"08/25/2024","19,574.64","19,679.24","19,726.90","19,221.48","1.48B","-0.74%"
"08/18/2024","19,720.87","19,521.93","19,938.89","19,445.10","1.30B","1.09%"
"08/11/2024","19,508.52","18,548.23","19,561.24","18,433.61","1.52B","5.38%"
"08/04/2024","18,513.10","17,444.40","18,567.63","17,435.39","1.99B","0.39%"
"07/28/2024","18,440.85","19,122.43","19,538.97","18,263.50","2.02B","-3.06%"
"07/21/2024","19,023.66","19,751.02","19,904.60","18,721.71","1.66B","-2.56%"
"07/14/2024","19,522.62","20,401.02","20,585.17","19,479.38","1.62B","-3.98%"
"07/07/2024","20,331.49","20,393.89","20,690.97","20,165.00","1.44B","-0.30%"
"06/30/2024","20,391.97","19,720.11","20,406.99","19,577.53","1.02B","3.60%"
"06/23/2024","19,682.87","19,648.23","20,017.72","19,472.53","1.81B","-0.09%"
"06/16/2024","19,700.43","19,681.86","19,979.93","19,623.71","2.25B","0.21%"
"06/09/2024","19,659.80","18,945.31","19,664.59","18,940.71","1.48B","3.47%"
"06/02/2024","19,000.95","18,666.72","19,113.88","18,392.57","1.17B","2.50%"
"05/26/2024","18,536.65","18,855.15","18,875.20","18,189.78","1.31B","-1.44%"
"05/19/2024","18,808.35","18,559.22","18,907.54","18,549.84","1.14B","1.41%"
"05/12/2024","18,546.23","18,228.40","18,669.50","18,147.57","1.16B","2.12%"
"05/05/2024","18,161.18","17,950.98","18,247.61","17,937.28","1.09B","1.51%"
"04/28/2024","17,890.79","17,801.14","17,926.98","17,284.37","1.50B","0.97%"
"04/21/2024","17,718.30","17,161.11","17,772.78","17,010.26","1.36B","3.99%"
"04/14/2024","17,037.65","18,143.26","18,152.08","16,973.94","1.28B","-5.36%"
"04/07/2024","18,003.49","18,130.44","18,337.15","17,932.42","1.18B","-0.58%"
"03/31/2024","18,108.46","18,280.82","18,391.58","17,875.75","1.24B","-0.80%"
"03/24/2024","18,254.69","18,215.54","18,378.70","18,168.20","982.88M","-0.46%"
"03/17/2024","18,339.44","18,024.24","18,464.70","17,809.15","1.29B","2.98%"
"03/10/2024","17,808.25","17,959.68","18,228.37","17,764.99","1.78B","-1.17%"
"03/03/2024","18,018.45","18,290.10","18,416.73","17,804.49","1.45B","-1.55%"
"02/25/2024","18,302.91","17,970.21","18,333.26","17,840.36","1.38B","2.04%"
"02/18/2024","17,937.61","17,591.17","18,091.62","17,319.44","1.09B","1.42%"
"02/11/2024","17,685.98","17,942.28","18,041.45","17,478.23","1.26B","-1.54%"
"02/04/2024","17,962.40","17,634.69","17,987.90","17,469.62","1.24B","1.81%"
"01/28/2024","17,642.73","17,438.03","17,682.29","17,128.74","1.42B","1.27%"
"01/21/2024","17,421.01","17,403.62","17,665.26","17,286.02","1.27B","0.62%"
"01/14/2024","17,314.01","16,775.10","17,317.21","16,561.49","1.06B","2.86%"
"01/07/2024","16,832.92","16,354.22","16,900.37","16,349.39","1.12B","3.23%"
"12/31/2023","16,305.98","16,667.30","16,686.60","16,249.19","984.44M","-3.09%"
"12/24/2023","16,825.93","16,816.78","16,969.17","16,757.88","677.15M","0.29%"
"12/17/2023","16,777.40","16,631.11","16,860.68","16,552.06","1.14B","0.93%"
"12/10/2023","16,623.45","16,069.61","16,669.77","16,061.87","2.20B","3.35%"
"12/03/2023","16,084.69","15,837.12","16,100.86","15,695.58","1.23B","0.54%"
"11/26/2023","15,997.58","15,969.72","16,166.51","15,825.67","1.38B","0.10%"
"11/19/2023","15,982.01","15,845.20","16,119.31","15,844.83","767.38M","0.91%"
"11/12/2023","15,837.99","15,469.21","15,904.63","15,404.71","1.30B","1.99%"
"11/05/2023","15,529.12","15,137.17","15,535.20","15,064.91","1.24B","2.85%"
"10/29/2023","15,099.49","14,283.98","15,149.78","14,225.86","1.36B","6.48%"
"10/22/2023","14,180.42","14,514.11","14,774.16","14,058.33","1.34B","-2.61%"
"10/15/2023","14,560.88","15,054.48","15,209.50","14,552.12","1.26B","-2.90%"
"10/08/2023","14,995.11","14,871.57","15,333.98","14,816.32","1.08B","0.15%"
"10/01/2023","14,973.24","14,717.90","15,021.38","14,504.14","1.18B","1.75%"
"09/24/2023","14,715.24","14,662.69","14,901.85","14,432.60","1.17B","0.10%"
"09/17/2023","14,701.10","15,161.17","15,268.96","14,686.84","1.15B","-3.30%"
"09/10/2023","15,202.40","15,409.77","15,512.82","15,173.71","1.69B","-0.51%"
"09/03/2023","15,280.23","15,460.52","15,556.85","15,138.73","943.30M","-1.36%"
